1a14,H,L,N
1a2y,B,A,C
1a3r,H,L,P
1acy,H,L,P
1adq,H,L,A
1afv,H,L,A
1ahw,E,D,F
1ai1,H,L,P
1ar1,C,D,B
1bgx,H,L,T
1bj1,H,L,W
1bog,B,A,C
1bql,H,L,Y
1bvk,E,D,F
1c08,B,A,C
1ce1,H,L,P
1cfn,B,A,C
1cfs,B,A,C
1cft,B,A,C
1cu4,H,L,P
1cz8,Y,X,V
1dee,F,E,H
1dqj,B,A,C
1dzb,A,a,X
1e4w,H,L,P
1e4x,H,L,P
1e6j,H,L,P
1egj,H,L,A
1ejo,H,L,P
1eo8,H,L,A
1ezv,X,Y,E
1f3r,b,B,A
1f58,H,L,P
1f90,H,L,E
1fbi,H,L,X
1fdl,H,L,Y
1fe8,H,L,A
1fj1,B,A,F
1fns,H,L,A
1fpt,H,L,P
1frg,H,L,P
1fsk,F,E,D
1g7h,B,A,C
1g7i,B,A,C
1g7j,B,A,C
1g7l,B,A,C
1g7m,B,A,C
1g9m,H,L,G
1g9n,H,L,G
1gc1,H,L,G
1ggi,H,L,P
1h0d,B,A,C
1hez,B,A,E
1hh6,B,A,C
1hh9,B,A,C
1hi6,B,A,C
1him,L,H,P
1hin,H,L,P
1hys,D,C,B
1i8i,B,A,C
1i8k,B,A,C
1i9r,K,M,B
1ic4,H,L,Y
1ic5,H,L,Y
1ic7,H,L,Y
1ifh,H,L,P
1ikf,H,L,C
1iqd,B,A,C
1j1o,H,L,Y
1j1p,H,L,Y
1j1x,H,L,Y
1j5o,H,L,B
1jhl,H,L,A
1jp5,a,A,C
1jps,H,L,T
1jrh,H,L,I
1k4c,A,B,C
1k4d,A,B,C
1kb9,J,K,E
1kc5,H,L,P
1kcr,H,L,P
1kcs,H,L,P
1ken,H,L,A
1kip,B,A,C
1kiq,B,A,C
1kir,B,A,C
1ktr,H,L,P
1kyo,J,K,E
1lk3,I,M,B
1mhp,X,Y,B
1mlc,B,A,E
1mpa,H,L,P
1mvu,B,A,P
1n0x,K,M,R
1n5y,H,L,B
1n64,H,L,P
1n6q,H,L,B
1n8z,B,A,C
1nak,H,L,P
1nby,B,A,C
1nbz,B,A,C
1nca,H,L,N
1ncb,H,L,N
1ncc,H,L,N
1ncd,H,L,N
1ndg,B,A,C
1ndm,B,A,C
1nfd,H,G,D
1nl0,H,L,G
1nma,H,L,N
1nmb,H,L,N
1nmc,H,L,N
1nsn,H,L,S
1oak,H,L,A
1oaz,H,L,A
1ob1,B,A,C
1orq,B,A,C
1ors,B,A,C
1osp,H,L,O
1ots,E,F,B
1ott,C,D,A
1otu,E,F,B
1p2c,B,A,C
1p4b,H,L,P
1p84,J,K,E
1pkq,B,A,E
1pz5,B,A,C
1q1j,I,M,Q
1qfu,H,L,A
1qfw,I,M,B
1qkz,H,L,P
1qle,H,L,B
1qnz,H,L,P
1r0a,H,L,B
1r3i,H,L,C
1r3j,B,A,C
1r3k,B,A,C
1r3l,B,A,C
1rjl,B,A,C
1rzj,H,L,G
1rzk,H,L,G
1s5h,B,A,C
1s78,F,E,B
1sm3,H,L,P
1svz,a,A,C
1sy6,H,L,A
1t03,H,L,B
1tet,H,L,P
1tjg,H,L,P
1tjh,H,L,P
1tji,H,L,P
1tpx,B,C,A
1tqb,B,C,A
1tqc,B,C,A
1tzg,I,M,Q
1tzh,B,A,W
1tzi,B,A,V
1u8h,B,A,C
1u8i,B,A,C
1u8j,B,A,C
1u8k,B,A,C
1u8l,B,A,C
1u8m,B,A,C
1u8n,B,A,C
1u8o,B,A,C
1u8p,B,A,C
1u8q,B,A,C
1u91,B,A,C
1u92,B,A,C
1u93,B,A,C
1u95,B,A,C
1ua6,H,L,Y
1uac,H,L,Y
1uj3,B,A,C
1uwx,H,L,P
1v7m,I,M,X
1v7n,J,N,Y
1vfb,B,A,C
1wej,H,L,F
1xcq,H,G,S
1xf5,D,C,Q
1xgp,B,A,C
1xgq,B,A,C
1xgr,B,A,C
1xgt,B,A,C
1xgu,B,A,C
1xgy,H,L,P
1yjd,H,L,C
1ymh,D,C,F
1ynt,D,C,G
1yqv,H,L,Y
1yy9,D,C,A
1yyl,H,L,G
1yym,H,L,G
1z3g,I,M,B
1za3,H,L,R
1zea,H,L,A
1ztx,H,L,E
1zwi,A,B,C
2a0l,D,C,A
2a6d,B,A,P
2a6i,B,A,P
2a6k,H,L,P
2adf,H,L,A
2aep,H,L,A
2aeq,H,L,A
2ap2,D,C,Q
2arj,H,L,Q
2atk,A,B,C
2b0s,H,L,P
2b1a,H,L,P
2b1h,H,L,P
2b2x,H,L,A
2bdn,H,L,A
2bob,A,B,C
2boc,A,B,C
2brr,H,L,P
2ck0,H,L,P
2cmr,H,L,A
2dd8,H,L,S
2dqc,H,L,Y
2dqd,H,L,Y
2dqe,H,L,Y
2dqf,B,A,C
2dqg,H,L,Y
2dqh,H,L,Y
2dqi,H,L,Y
2dqj,H,L,Y
2dtg,A,B,E
2dwd,A,B,C
2dwe,A,B,C
2eh8,H,L,P
2eiz,B,A,C
2eks,B,A,C
2exw,C,D,A
2exy,E,F,B
2ez0,C,D,A
2f58,H,L,P
2f5b,H,L,P
2fd6,H,L,U
2fec,I,L,B
2fed,C,D,A
2fee,J,O,A
2fjg,H,L,W
2fjh,B,A,W
2fx7,H,L,P
2fx8,J,N,R
2fx9,H,L,P
2g5b,D,C,J
2ghw,B,b,A
2gsi,B,A,W
2h1p,H,L,P
2h2p,E,F,B
2h2s,E,F,B
2h32,H,A,B
2h8p,A,B,C
2h9g,B,A,R
2hfe,A,B,C
2hfg,H,L,R
2hg5,A,B,C
2hh0,H,L,P
2hjf,A,B,C
2hkf,H,L,P
2hlf,C,D,A
2hmi,D,C,B
2hrp,H,L,P
2ht2,C,D,A
2ht3,C,D,A
2ht4,E,F,B
2htk,C,D,A
2htl,C,D,A
2hvj,A,B,C
2hvk,A,B,C
2i5y,R,Q,P
2i60,H,L,G
2i9l,F,E,K
2ibz,X,Y,E
2iff,H,L,Y
2igf,H,L,P
2ih1,A,B,C
2ih3,A,B,C
2ipu,G,K,P
2itc,A,B,C
2itd,A,B,C
2j4w,H,L,D
2j5l,C,B,A
2j6e,I,M,B
2j88,H,L,A
2jel,H,L,P
2jix,H,L,E
